,0,100recon _recon 10recon _recon 1000,100recon _recon 20recon _recon 1000,200recon _recon 10recon _recon 1000,200recon _recon 20recon _recon 1000
11764,MAX,0.6952087,0.7682445,0.7569978,0.8217587
11765,FUT8,0.67138845,6.0217595,0.6938589,0.7309836
11766,GPHN,0.6734937,0.7299521,0.6959495,0.7425654
11767,FAM71D,0.38750845,2.0084505,0.39598936,0.40459353
11768,MPP5,0.68332595,0.741884,0.7102485,0.73993033
11769,ATP6V1D,0.69027925,6.1039467,0.7255981,1.0481437
11770,EIF2S1,0.691744,0.7841229,0.74215055,0.8071836
11771,PLEK2,0.5309064,0.5507978,0.5409383,0.84648776
11772,TMEM229B,0.62298125,4.8277082,0.63563424,4.827429
11773,PLEKHH1,0.66872025,0.7122938,0.686164,4.351022
11774,PIGH,0.66616005,0.71637636,0.691783,5.8591366
11775,ARG2,0.590677,3.0226364,0.60247606,4.259097
11776,VTI1B,0.69492406,0.7711893,0.7497972,0.81502813
11777,RDH11,0.69030356,0.74999785,0.73558104,0.7519815
11778,RDH12,0.48227087,2.8812494,0.490335,0.5016184
11779,ZFYVE26,0.68762684,0.7583649,0.72649866,0.8620944
11780,RAD51B,0.5935128,4.3072686,0.60729694,2.027258
11781,ZFP36L1,0.6910175,0.8410143,0.81428623,0.8544944
11782,ACTN1,0.69643676,0.8042889,0.8658324,1.05851
11783,DCAF5,0.69672287,0.8621104,0.7675799,7.4692
11784,EXD2,0.6801829,6.3563375,0.7065944,1.0571134
11785,GALNT16,0.6684985,5.933077,0.68805426,2.6582654
11786,ERH,0.6883224,0.7591153,0.7176659,0.76090735
11787,SLC39A9,0.6901959,6.8567843,0.75086784,6.857794
11788,PLEKHD1,0.5017925,3.0864327,0.5088632,0.533736
11789,CCDC177,0.3137096,0.71995497,1.4578463,1.455189
11790,SRSF5,0.68977857,0.8221587,0.867766,3.1356206
11791,SLC10A1,0.31927863,0.38458326,0.32163197,1.4995621
11792,SMOC1,0.6466549,0.6730513,0.6629169,5.3329754
11793,SLC8A3,0.5368175,0.5810488,0.54649705,3.5023103
11794,COX16,0.67926365,6.3081694,0.70500845,0.7675931
11795,SYNJ2BP,0.6886933,0.758776,0.7533455,0.8575824
11796,ADAM21,0.43792832,2.446531,0.44757473,0.46090454
11797,ADAM20,0.4170904,0.4538222,0.42509252,0.46931022
11798,MED6,0.66773045,0.71442056,0.68928736,0.7673092
11799,TTC9,0.65004134,5.393996,0.6728583,4.591364
11800,MAP3K9,0.6447625,4.36075,5.2753224,0.73129463
11801,SIPA1L1,0.69377065,0.75222754,0.7569249,0.7832582
11802,RGS6,0.61356056,4.653847,0.62342924,4.6139545
11803,DPF3,0.61051387,2.961259,0.6213371,0.64740163
11804,DCAF4,0.6643361,1.4104514,0.6854348,0.7464587
11805,ZFYVE1,0.6848532,6.557529,0.74541,0.7433994
11806,RBM25,0.69793874,0.8005909,0.80055994,0.8307127
11807,PSEN1,0.69316745,0.80971795,0.74153066,0.79312557
11808,PAPLN,0.67723024,6.208038,0.70072573,0.7701403
11809,NUMB,0.69598776,0.8016352,0.77065593,0.9085706
11810,HEATR4,0.5288287,2.1154978,0.53861475,0.572461
11811,ACOT1,0.61719704,4.7159433,0.62916136,4.7167673
11812,ACOT2,0.67122865,5.959106,0.6924176,6.009826
11813,ACOT4,0.5592263,3.7997904,0.570522,0.5876736
11814,ACOT6,0.19865255,0.7665882,0.54319274,0.76647234
11815,DNAL1,0.6637883,5.7872396,0.68507856,0.7180264
11816,PNMA1,0.69078374,0.7421421,0.7512502,6.8965154
11817,ELMSAN1,0.6942372,0.8015611,0.76047987,0.7819687
11818,PTGR2,0.6625564,0.70137525,0.68115497,3.557643
11819,ZNF410,0.6768787,4.519496,0.7317031,0.731322
11820,FAM161B,0.64187557,0.6824486,0.6614546,0.7079187
11821,COQ6,0.63294315,1.6537573,0.64798594,0.67158484
11822,ENTPD5,0.6744554,0.72066295,0.69428194,6.134115
11823,ALDH6A1,0.68838483,0.7507487,0.72305095,0.7681498
11824,LIN52,0.6558386,3.8181124,0.67599463,5.5639896
11825,VSX2,0.21154174,0.8318681,0.21594848,0.8323041
11826,ABCD4,0.68688947,0.74014014,0.72095835,0.80767906
11827,VRTN,0.52441716,0.5242265,0.5214867,0.5252631
11828,SYNDIG1L,0.51404876,3.2264354,0.5221121,0.5478471
11829,NPC2,0.6955828,7.295723,0.75095123,7.2960076
11830,ISCA2,0.6579397,2.8424122,0.678001,5.6198225
11831,LTBP2,0.69507056,0.9347553,0.748736,0.82455987
11832,AREL1,0.6902664,0.75990707,0.734234,0.80140346
11833,FCF1,0.6814496,0.7483879,0.70364344,0.74411875
11834,YLPM1,0.6958673,0.86770654,0.78127223,0.8113025
11835,PROX2,0.51901025,3.2862403,0.5286866,0.5451347
11836,DLST,0.6980927,0.9839204,0.7773164,0.8080426
11837,RPS6KL1,0.65253365,5.4537063,0.6694021,4.7404695
11838,PGF,0.65268505,5.4704785,0.67182535,0.77579945
11839,EIF2B2,0.679195,0.72341096,0.7126258,1.15916
11840,MLH3,0.68018067,0.76628816,0.7037721,6.352245
11841,ACYP1,0.6390214,5.158495,0.6532257,0.7066892
11842,ZC2HC1C,0.59143806,0.6388308,0.6031507,0.6199491
11843,NEK9,0.6979553,0.8531076,0.7994415,1.0880878
11844,TMED10,0.6972078,0.80198836,0.8101872,0.8081066
11845,FOS,0.6974457,0.79025936,0.8345822,0.81745565
11846,JDP2,0.68647784,0.75448716,0.7223283,0.75164735
11847,BATF,0.53804517,1.6511602,0.5460903,0.5777644
11848,FLVCR2,0.62959236,4.945779,0.6436409,4.94685
11849,TTLL5,0.67546594,0.72028035,0.6993172,0.73203146
11850,C14orf1,0.6813948,6.3959994,0.7113378,6.396296
11851,TGFB3,0.676966,0.7420408,0.70227903,6.215253
11852,IFT43,0.66813225,5.7033143,0.6892646,0.7168701
11853,GPATCH2L,0.69184947,0.75908166,0.74277973,0.8680456
11854,ESRRB,0.45443052,2.598678,0.46455806,0.4686087
11855,VASH1,0.6733928,0.7622071,0.695595,0.74542487
11856,ANGEL1,0.68558073,5.105068,0.72120893,6.566715
11857,LRRC74A,0.23814467,0.98411614,0.2569963,0.64593303
11858,IRF2BPL,0.6925428,0.7992093,0.733643,0.800832
11859,CIPC,0.6921614,6.9540925,0.7305564,0.7967233
11860,ZDHHC22,0.39785045,2.0950787,0.4034281,1.0410011
11861,TMEM63C,0.5919235,4.2714005,0.602677,0.6249258
11862,NGB,0.3565327,1.7704948,0.36509982,1.7709179
11863,POMT2,0.6832008,0.836155,0.709997,6.470894
11864,GSTZ1,0.6549766,5.5351214,0.66818345,0.783413
11865,TMED8,0.68205285,0.7341096,0.7141092,0.8231079
11866,SAMD15,0.47810024,0.49953568,2.8358526,0.4898189
11867,NOXRED1,0.49079147,2.9709501,0.49969742,2.9714987
