,name,recon_1
888,ATG2B,0.6996134
889,TSPAN2,0.63201016
890,PIWIL2,0.45043945
891,FTO,0.76377195
892,GATSL1,0.44351903
893,EIF5B,0.78018254
894,TBCD,0.7922813
895,C19orf26,0.60217017
896,SMCO2,0.5816445
897,PPIC,0.7898331
898,SYNPO,0.78246814
899,MB21D2,0.6956491
900,DOHH,0.7425532
901,C1orf233,0.71742564
902,SETD2,0.7354727
903,GRIK3,0.18710296
904,CXADR,0.7610226
905,THEG,0.42217064
906,UGT3A1,0.2225188
907,RP11-298I3.5,0.6697579
908,DNAJC21,0.81182104
909,PON1,0.2174473
910,SRSF5,0.8061729
911,CBX5,0.7809182
912,APIP,0.756689
913,TREM2,0.75412315
914,MINOS1,0.82703096
915,CMTM3,0.77865416
916,MTMR3,0.77706736
917,AC091801.1,0.27546945
918,CCDC180,0.5012791
919,CTGF,0.7887388
920,LEP,0.2984105
921,RPL37A,0.72599906
922,SUV420H2,0.7307014
923,AC010536.1,0.38894275
924,GPAT2,0.5948492
925,MLIP,0.66670424
926,C5orf28,0.7379553
927,KIAA1715,0.7419386
928,ENPP2,0.7122527
929,BDKRB2,0.74429154
930,GPR75,0.5256729
931,ITGA8,0.5464273
932,TMEM238,0.6683462
933,ZDHHC12,0.7983381
934,TNFAIP1,0.79081655
935,KEL,0.39918637
936,CYB5R1,0.82838154
937,HSPA9,0.7915694
938,TNFRSF13B,0.46228337
939,HAVCR1,0.2704248
940,OVOL2,0.718755
941,PKMYT1,0.78743005
942,CLDN14,0.519931
943,FOXA2,0.33264777
944,KRTAP4-5,0.04174097
945,TAPT1,0.7240233
946,NUMA1,0.7967755
947,SIGLEC14,0.56363946
948,RD3,0.17531212
949,NPAS3,0.33303103
950,QRSL1,0.70911044
951,ZNF518B,0.69712347
952,AKAP8L,0.7832691
953,PRKCQ,0.64225173
954,OFCC1,0.36664987
955,MAGT1,0.7750632
956,CNKSR2,0.6134961
957,SEMA3G,0.61989635
958,CNTNAP3B,0.6044832
959,LAMB2,0.7933719
960,TPST1,0.7534654
961,ARRDC2,0.76099443
962,TFAP4,0.75766945
963,PCDHB12,0.5293457
964,CEP192,0.73837537
965,MTA1,0.84190875
966,CLEC4G,0.46299753
967,MRPL45,0.7750074
968,TREX1,0.76334363
969,SLC35E4,0.6826752
970,GAB4,0.14257634
971,GJB7,0.48669
972,CNKSR1,0.76110834
973,AP000350.10,0.21745695
974,TMEM82,0.17176664
975,PTPN20A,0.37543666
976,ESYT2,0.76580125
977,ACER2,0.6537446
978,ETFDH,0.73892397
979,MED8,0.7863893
980,MSLN,0.72056025
981,NPY2R,0.19075501
982,FMR1,0.7646587
983,EFHC1,0.69771606
984,C19orf35,0.39614
985,KCNIP1,1.2581917
986,TTC40,0.34957972
987,NDST3,0.1876902
988,NHLH1,0.32350817
989,AP002884.3,0.180741
990,CCL18,0.76734835
991,HES5,0.523686
992,SLC35D2,0.75905854
993,HSD17B7,0.7494357
994,C16orf91,0.76365453
995,ADAM23,0.7018904
996,RPA3,0.78264976
997,CCDC127,0.6779487
998,ATP6V1G1,0.79168016
999,SIDT1,0.58871716
1000,UNC119,0.7960461
