,x,0
13717,CSNK1D,3.1387866
9666,ARHGEF12,3.1388571
5029,PDGFRB,3.1388967
3265,FLNB,3.1393733
9193,NXF1,3.1394196
4756,PJA2,3.1397269
12210,SMG1,3.1398451
11947,CHD2,3.1417146
10034,ARF3,3.1419132
16035,H1F0,3.14275
4123,SEC31A,3.1439679
15694,MRAP,3.1440158
15132,EPN1,3.1442537
12295,ATXN2L,3.1443021
6415,MDH2,3.1445336
8066,FBXW5,3.1454475
11930,NGRN,3.1458094
1847,HADHB,3.145891
15796,COL18A1,3.1468482
8524,TM9SF3,3.1471217
16711,RBMX,3.1473942
15740,ETS2,3.1475716
13449,SRSF1,3.148032
3425,GOLGB1,3.1483111
10920,GAS6,3.1485198
6051,EZR,3.1492057
16008,EIF3D,3.1499562
12804,MINK1,3.1499946
9333,KDM2A,3.1504934
14687,AKT2,3.1505017
3611,MBNL1,3.1506088
2098,CCT7,3.151165
14738,CIC,3.1517348
7541,TAF1L,3.152487
6168,NDUFA4,3.1539757
2496,CYBRD1,3.1545703
16155,FBLN1,3.154842
6352,CHCHD2,3.1550887
3141,WDR6,3.1552274
8093,TUBB4B,3.1553364
11654,ARPP19,3.1554453
13283,VAT1,3.1554623
7987,PRRC2B,3.1560025
14553,USF2,3.1567974
10044,TUBA1A,3.1568973
11411,CKB,3.157282
15315,RRBP1,3.1605792
16640,SLC25A5,3.160701
8452,GLUD1,3.1608486
10205,BAZ2A,3.161241
15594,ATP5E,3.1614754
13199,MSL1,3.1615372
10562,MLXIP,3.1620045
8602,ACTR1A,3.1628747
5844,SNX3,3.1629665
8133,GDI2,3.1633532
12964,UBB,3.163712
14104,UBXN6,3.165285
7815,KIAA0368,3.1653073
7244,UQCRB,3.165346
15439,RPN2,3.1658108
2045,ACTR2,3.1660872
13286,NBR1,3.1664765
3000,PDCD6IP,3.1668625
9075,CELF1,3.1670072
2550,NCKAP1,3.1676013
15875,MAPK1,3.1677659
549,PRDX1,3.1684198
8795,CD151,3.168625
13424,SPAG9,3.1687338
13748,MYL12A,3.1691496
11042,HECTD1,3.1692283
6136,TNRC18,3.1704826
8012,SURF4,3.1707015
9394,INPPL1,3.1707432
12874,ZBTB4,3.170822
11624,EID1,3.1710126
9350,NDUFV1,3.1714659
11834,TSPAN3,3.171922
8276,NCOA4,3.172604
11708,SNX1,3.172605
834,SARS,3.1734123
6316,ZMIZ2,3.1739752
8873,TPP1,3.1742313
8064,EDF1,3.17434
13768,VAPA,3.174673
6936,ASAH1,3.1750739
2255,MAP4K4,3.1755629
2980,TGFBR2,3.1756368
838,SORT1,3.1776867
13406,COL1A1,3.1778467
11374,PAPOLA,3.177975
13505,DDX42,3.1781683
886,RHOC,3.1790707
10239,OS9,3.1793678
3174,RBM5,3.1794446
12355,SRCAP,3.1796813
12742,ABR,3.1804214
5126,ERGIC1,3.1812494
6711,UBE2H,3.1818635
97,PARK7,3.1820364
9814,PHB2,3.1823113
1617,WDR26,3.182413
7306,RAD21,3.183188
4768,REEP5,3.1835518
1377,QSOX1,3.183626
9265,CAPN1,3.1838257
6118,EIF3B,3.1850448
3517,CDV3,3.1851356
8420,ZMIZ1,3.1862006
9011,CAPRIN1,3.1863625
10614,RAN,3.186394
10862,IPO5,3.1870534
1102,C1orf43,3.187536
