,name,recon_1
210,BSU02120,0.70056707
211,BSU02130,0.70627487
212,BSU02140,0.7142041
213,BSU02150,0.7104718
214,BSU02160,0.7409845
215,BSU02170,0.7336005
216,BSU02180,0.70236874
217,BSU02190,0.73787373
218,BSU02200,0.7178203
219,BSU02210,0.74306846
220,BSU02220,0.71979225
221,BSU02230,0.7269127
222,BSU02240,0.7113336
223,BSU02250,0.72455555
224,BSU02260,0.7174092
225,BSU02270,0.7083156
226,BSU02280,0.6962327
227,BSU02290,0.71451163
228,BSU02300,0.7179371
229,BSU02310,0.7347305
230,BSU02320,0.7475376
231,BSU02330,0.72647923
232,BSU02340,0.72895545
233,BSU02350,0.7268297
234,BSU02360,0.7317399
235,BSU02370,0.71769696
236,BSU02380,0.7445119
237,BSU02390,0.7160576
238,BSU02400,0.7166565
239,BSU02410,0.71136457
240,BSU02420,0.7110973
241,BSU02430,0.7748359
242,BSU02440,0.7544484
243,BSU02450,0.7073483
244,BSU02460,0.719218
245,BSU02470,0.7273356
246,BSU02480,0.7591607
247,BSU02490,0.72242
248,BSU02500,0.72439456
249,BSU02510,0.7231704
250,BSU02520,0.69992405
251,BSU02530,0.73543155
252,BSU02540,0.70473313
253,BSU02550,0.7255444
254,BSU02560,0.7116528
255,BSU02570,0.7029976
256,BSU02580,0.720808
257,BSU02590,0.72436357
258,BSU02600,0.7882615
259,BSU02610,0.7729365
260,BSU02619,0.71859014
261,BSU02620,0.72559494
262,BSU02630,0.7200698
263,BSU02640,0.75454944
264,BSU02650,0.7126448
265,BSU02660,0.6939869
266,BSU02670,0.7368122
267,BSU02680,0.70618945
268,BSU02690,0.72705626
269,BSU02700,0.71610785
270,BSU02710,0.7364497
271,BSU02720,0.70818394
272,BSU02730,0.70877516
273,BSU02740,0.7267345
274,BSU02750,0.71191496
275,BSU02760,0.76422656
276,BSU02770,0.6962028
277,BSU02780,0.73938197
278,BSU02790,0.79804796
279,BSU02800,0.7035011
280,BSU02810,0.7184212
281,BSU02820,0.7142189
282,BSU02830,0.7286873
283,BSU02840,0.701569
284,BSU02850,0.75956345
285,BSU02860,0.7233603
286,BSU02870,0.70265865
287,BSU02880,0.73556674
288,BSU02890,0.7795136
289,BSU02900,0.69589007
290,BSU02910,0.7116661
291,BSU02920,0.7142613
292,BSU02930,0.7466365
293,BSU02940,0.7132308
294,BSU02950,0.7259705
295,BSU02960,0.73044676
296,BSU02970,0.7482173
297,BSU02980,0.70705426
298,BSU02990,0.73755485
299,BSU03000,0.73537904
300,BSU03010,0.74419475
301,BSU03020,0.7367027
302,BSU03030,0.7159034
303,BSU03040,0.7529564
304,BSU03050,0.7119407
305,BSU03060,0.7707959
306,BSU03070,0.71210366
307,BSU03080,0.7507845
308,BSU03090,0.70325005
309,BSU03100,0.7504053
310,BSU03110,0.7036829
311,BSU03120,0.77942896
312,BSU03130,0.7178366
313,BSU03140,0.70093286
314,BSU03150,0.7053679
315,BSU03160,0.7494164
316,BSU03170,0.77224094
317,BSU03180,0.7053391
318,BSU03190,0.69738424
319,BSU03200,0.74195343
320,BSU03210,0.71019185
321,BSU03220,0.7469672
322,BSU03230,0.7448082
323,BSU03240,0.765351
324,BSU03250,0.7078164
325,BSU03260,0.73802227
326,BSU03270,0.7277798
327,BSU03280,0.73510873
328,BSU03290,0.7386496
329,BSU03300,0.70307696
330,BSU03310,0.7452732
331,BSU03320,0.7330281
332,BSU03330,0.7168606
333,BSU03340,0.77516186
334,BSU03350,0.7116405
335,BSU03359,0.73388225
336,BSU03360,0.72084934
337,BSU03370,0.7431101
338,BSU03380,0.70736194
339,BSU03390,0.7558746
340,BSU03400,0.70979184
341,BSU03410,0.7165812
342,BSU03420,0.7148234
343,BSU03430,0.71368325
344,BSU03440,0.73840576
345,BSU03450,0.7503795
346,BSU03460,0.70662713
347,BSU03470,0.73999316
348,BSU03480,0.74075913
349,BSU03490,0.7083342
350,BSU03500,0.776119
351,BSU03510,0.7101426
352,BSU03520,0.7318591
353,BSU03530,0.7330439
354,BSU03540,0.71561825
355,BSU03550,0.71923965
356,BSU03560,0.7905146
357,BSU03570,0.69820374
358,BSU03580,0.7366953
359,BSU03590,0.70373845
360,BSU03600,0.72658515
361,BSU03610,0.6998727
362,BSU03620,0.7552688
363,BSU03630,0.7426249
364,BSU03640,0.74142796
365,BSU03651,0.74655557
366,BSU03652,0.7074178
367,BSU03660,0.766599
368,BSU03670,0.7218028
369,BSU03680,0.73106754
370,BSU03690,0.727851
371,BSU03700,0.728267
372,BSU03710,0.79557025
373,BSU03720,0.725969
374,BSU03730,0.70438516
375,BSU03740,0.73504084
376,BSU03750,0.70023406
377,BSU03760,0.74481523
378,BSU03770,0.7060325
379,BSU03780,0.7666541
380,BSU03788,0.8156963
381,BSU03789,0.7917636
382,BSU03790,0.7210373
383,BSU03800,0.7033293
384,BSU03810,0.6959869
385,BSU03820,0.6935632
386,BSU03830,0.7118508
387,BSU03840,0.7754653
388,BSU03850,0.6951706
389,BSU03860,0.75247073
390,BSU03870,0.71299756
391,BSU03880,0.73147184
392,BSU03890,0.72911334
393,BSU03900,0.70310885
394,BSU03910,0.73972917
395,BSU03920,0.7592809
396,BSU03930,0.7373692
397,BSU03940,0.7854205
398,BSU03950,0.7617463
399,BSU03960,0.696409
400,BSU03970,0.72055167
401,BSU03981,0.71895164
402,BSU03982,0.7171526
403,BSU03990,0.7255032
404,BSU04000,0.72979283
405,BSU04010,0.7232334
406,BSU04020,0.73729855
407,BSU04030,0.7608358
408,BSU04039,0.73517144
409,BSU04040,0.72455287
410,BSU04050,0.7721677
411,BSU04060,0.7016494
412,BSU04070,0.708547
413,BSU04080,0.7123632
414,BSU04090,0.73352414
415,BSU04100,0.7525958
416,BSU04110,0.73264676
417,BSU04120,0.72562236
418,BSU04130,0.78077257
